pub_date	title	venue	excerpt	citation	url_slug	paper_url
2025-01-01	Experimentology: An open science approach to experimental psychology methods	MIT Press		Frank, M. C., Braginsky, M., Cachia, J., Coles, N., Hardwicke, T. E., Hawkins, R. D., et al. (2025). "Experimentology: An open science approach to experimental psychology methods." <i>MIT Press</i>.	2025-experimentology	https://books.google.com/books?hl=en&lr=&id=gyUmEQAAQBAJ&oi=fnd&pg=PA5&dq=info:DEE-KFoChRwJ:scholar.google.com&ots=2JWRRyHMAd&sig=luux_AwoWsppb_m2LACbhgakqMA#v=onepage&q&f=false
2025-01-01	Minding the politeness gap in cross-cultural communication	Proceedings of the 47th Annual Conference of the Cognitive Science Society		Machino, Y., Hofer, M., Siegel, M., Tenenbaum, J. B., & Hawkins, R. D. (2025). "Minding the politeness gap in cross-cultural communication." <i>Proceedings of the 47th Annual Conference of the Cognitive Science Society</i>.	2025-politeness-gap	https://arxiv.org/abs/2506.15623
2025-01-01	Comparing human and LLM politeness strategies in free production	arXiv preprint arXiv:2506.09391		Zhao, H., & Hawkins, R. D. (2025). "Comparing human and LLM politeness strategies in free production." <i>arXiv preprint</i> arXiv:2506.09391.	2025-llm-politeness	https://arxiv.org/abs/2506.09391
2025-01-01	Integrating neural and symbolic components in a model of pragmatic question-answering	SCiL		Tsvilodub, P., Hawkins, R. D., & Franke, M. (2025). "Integrating neural and symbolic components in a model of pragmatic question-answering." <i>SCiL</i>.	2025-neural-symbolic	https://arxiv.org/abs/2506.01474
2025-01-01	Using LLMs to advance the cognitive science of collectives	Nature Computational Science		Sucholutsky, I., Collins, K. M., Jacoby, N., Thompson, B. D., & Hawkins, R. D. (2025). "Using LLMs to advance the cognitive science of collectives." <i>Nature Computational Science</i>.	2025-llms-collectives	https://arxiv.org/abs/2506.00052
2025-01-01	Core Knowledge Deficits in Multi-Modal Language Models	ICML		Li, Y., Gao, Q., Zhao, T., Wang, B., Sun, H., Lyu, H., Hawkins, R. D., Vasconcelos, N., et al. (2025). "Core Knowledge Deficits in Multi-Modal Language Models." <i>ICML</i>.	2025-core-knowledge	https://arxiv.org/abs/2410.10855
2025-01-01	Two paths to variation in semantic judgments: How ambiguity and conceptual diversity drive individual differences in meaning	Proceedings of the 47th Annual Meeting of the Cognitive Science Society		Liu, D., Marjieh, R., Jacoby, N., & Hawkins, R. D. (2025). "Two paths to variation in semantic judgments." <i>Proceedings of the 47th Annual Meeting of the Cognitive Science Society</i>.	2025-semantic-judgments	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7EPsnxEAAAAJ&sortby=pubdate&citation_for_view=7EPsnxEAAAAJ:LjlpjdlvIbIC
2025-01-01	Function shapes form: Compositionality emerges from communicative needs, not environmental structure alone	Proceedings of the 47th Annual Meeting of the Cognitive Science Society		Mankewitz, J., & Hawkins, R. D. (2025). "Function shapes form: Compositionality emerges from communicative needs, not environmental structure alone." <i>Proceedings of the 47th Annual Meeting of the Cognitive Science Society</i>.	2025-function-shapes-form	https://escholarship.org/uc/item/4tw1c3gn
2025-01-01	When More Words Say Less: Decoupling Length and Informativity in Image Description Evaluation	arXiv preprint		Kapur, R., Hawkins, R. D., & Kreiss, E. (2025). "When More Words Say Less: Decoupling Length and Informativity in Image Description Evaluation." <i>arXiv preprint</i>.	2025-more-words-less	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7EPsnxEAAAAJ&sortby=pubdate&citation_for_view=7EPsnxEAAAAJ:5awf1xo2G04C
2025-01-01	How do we get to know someone? Diagnostic questions for inferring personal traits	Proceedings of the 47th Annual Conference of the Cognitive Science Society		Brockbank, E., Gerstenberg, T., Fan, J. E., & Hawkins, R. D. (2025). "How do we get to know someone? Diagnostic questions for inferring personal traits." <i>Proceedings of the 47th Annual Conference of the Cognitive Science Society</i>.	2025-get-to-know	https://escholarship.org/uc/item/4bt8h8s2
2025-01-01	Relevant answers to polar questions	Philosophical Transactions of the Royal Society B		Hawkins, R. D., Tsvilodub, P., Bergey, C. A., Goodman, N. D., & Franke, M. (2025). "Relevant answers to polar questions." <i>Philosophical Transactions of the Royal Society B</i>.	2025-polar-questions	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7EPsnxEAAAAJ&sortby=pubdate&citation_for_view=7EPsnxEAAAAJ:HE397vMXCloC
